번호,병원/약국명,병원/약국구분,전화번호,우편번호,소재지주소,홈페이지
11357,연세센터원치과의원,치과의원,031-861-2119,11473,"경기도 양주시 회천남로 92 센타프라자 501,502-1호 (옥정동)",
11358,연세센텀치과교정과치과의원,치과의원,051-528-2885,48037,부산광역시 해운대구 선수촌로 80 2층 (반여동),
11359,연세센텀치과의원,치과의원,032-563-2279,22731,인천광역시 서구 봉오재3로 90 한일골드타워 401호 (가정동),
11360,연세센텀치과의원,치과의원,02-2233-7528,04575,"서울특별시 중구 퇴계로 453 2,3,4층 (황학동)",
11361,연세센트럴치과의원,치과의원,02-504-2725,13832,"경기도 과천시 별양로 164 2층 1호 (부림동, 과천센트럴파크푸르지오써밋)",
11362,연세센트럴치과의원,치과의원,02-441-2825,05201,서울특별시 강동구 아리수로93나길 26 성산타워 203~206호 (강일동),
11363,연세센트럴치과의원,치과의원,031-756-3230,13327,경기도 성남시 수정구 수정로 106 401호 (수진동),
11364,연세소망치과의원,치과의원,054-633-7333,36074,경상북도 영주시 영주로 227 (하망동),
11365,연세소망치과의원,치과의원,031-298-2804,16604,경기도 수원시 권선구 금호로 244 2층 (탑동),
11366,연세손치과의원,치과의원,032-505-2868,21312,인천광역시 부평구 마장로 438 (청천동),
11367,연세솔치과의원,치과의원,02-313-0075,03734,서울특별시 서대문구 통일로 193 1층 (영천동),
11368,연세송치과의원,치과의원,054-633-0100,36096,경상북도 영주시 구성로 345-1 2층 (영주동),
11369,연세수목화치과의원,치과의원,064-723-7528,63303,제주특별자치도 제주시 화삼북로 36 2층 (화북일동),
11370,연세수지아이들치과의원,치과의원,031-265-2858,16930,"경기도 용인시 수지구 만현로 110 A동 501호 (상현동, 원희캐슬프라자)",
11371,연세수천치과의원,치과의원,02-422-7522,05604,서울특별시 송파구 백제고분로 255 3층 (삼전동),
11372,연세수치과교정과치과의원,치과의원,031-247-9500,16334,경기도 수원시 장안구 정자천로 179 (정자동),http://www.soodent.com
11373,연세수치과의원,치과의원,053-428-7575,41938,대구광역시 중구 국채보상로 606 (문화동),
11374,연세수치과의원,치과의원,319-7528,04526,"서울특별시 중구 세종대로18길 16 204호 (북창동, 우성빌딩)",
11375,연세수치과의원,치과의원,02-2201-5536,04929,"서울특별시 광진구 천호대로 553 2층 (중곡동, 중곡빌딩)",
11376,연세수치과의원,치과의원,02-706-2804,04104,서울특별시 마포구 신촌로 174 5층 (대흥동),
11377,연세수치과의원,치과의원,02-2040-7287,06349,서울특별시 강남구 밤고개로1길 10 211호 (수서동),
11378,연세수치과의원,치과의원,02-989-2875,01132,서울특별시 강북구 도봉로 260 3층 (미아동),
11379,연세수치과의원,치과의원,02-990-2755,01414,서울특별시 도봉구 마들로11길 65 2층 2호 (창동),
11380,연세수치과의원,치과의원,02-353-2897,03397,서울특별시 은평구 통일로 731 (대조동),
11381,연세수치과의원,치과의원,02-466-7227,04789,서울특별시 성동구 왕십리로14길 30-3 4층 (성수동1가),
11382,연세수치과의원,치과의원,031-709-7382,13497,"경기도 성남시 분당구 성남대로925번길 16 성남(분당)여객자동차터미널 2층 113,114호 (야탑동)",
11383,연세수치과의원,치과의원,031-323-2275,17052,경기도 용인시 처인구 금령로 105 3층 (김량장동),
11384,연세수치과의원,치과의원,031-391-2804,15806,경기도 군포시 금산로 92 3층 (산본동),
11385,연세수치과의원,치과의원,062-672-2875,61727,광주광역시 남구 서문대로 659 3층 (진월동),
11386,연세쉼표치과의원,치과의원,031-857-9069,11473,경기도 양주시 옥정로 214 피오피타워 501-1호 (옥정동),
11387,연세스마일드림치과의원,치과의원,031-792-2879,12951,"경기도 하남시 대청로 30 2층 (신장동, 우신빌딩)",http://www.smiledream.co.kr
11388,연세스마일치과의원,치과의원,031-205-2845,17110,경기도 용인시 기흥구 서천로202번길 2 301호 (농서동),
11389,연세스마일치과의원,치과의원,02-3784-2828,05376,서울특별시 강동구 양재대로 1377 (성내동),
11390,연세스마일치과의원,치과의원,02-805-2871,08656,서울특별시 금천구 금하로 749 2층 (시흥동),
11391,연세스마일치과의원,치과의원,02-706-7522,04168,"서울특별시 마포구 도화길 43 403호,404호 (도화동, 나눔빌딩)",
11392,연세스마일치과의원,치과의원,02-2608-2828,08030,서울특별시 양천구 신월로 173 2층 (신월동),
11393,연세스마일치과의원,치과의원,02-931-2666,01743,서울특별시 노원구 중계로 217 중계중흥빌딩 4층 (중계동),
11394,연세스마일포유치과의원,치과의원,02-364-7528,03779,서울특별시 서대문구 신촌로 107 6층 (창천동),http://www.dentsmile.net/default.html
11395,연세스마트치과의원,치과의원,02-476-2875,12999,"경기도 하남시 감일백제로180번길 9 5층 505호,506호 (감이동)",
11396,연세스마트치과의원,치과의원,02-6953-2300,06953,서울특별시 동작구 상도로 69 상원빌딩 2층 (대방동),http://www.misosmile.com/branch/b_yangjae/sub01.html
11397,연세스마트치과의원,치과의원,032-218-2875,21574,"인천광역시 남동구 예술로 126 5층 509,510호 (구월동)",http://www.bondental.net/
11398,연세스마트치과의원,치과의원,031-217-5991,16943,"경기도 용인시 수지구 광교중앙로 320 401~402호 (상현동, 광교스타지)",http://www.smartdental.co.kr
11399,연세스위트치과병원,치과병원,02-733-2875,04575,"서울특별시 중구 퇴계로 447 211~213호 (황학동, 황학아크로타워)",http://www.suitedent.co.kr
11400,연세스카이치과의원,치과의원,033-761-2875,26490,강원도 원주시 단구로 395 2층 (단구동),
11401,연세스타일치과의원,치과의원,02-909-2824,01895,서울특별시 노원구 화랑로 335 2층 (월계동),
11402,연세스타치과의원,치과의원,031-411-2875,15360,경기도 안산시 단원구 고잔로 88 405호 (고잔동),https://yonseistar.net
11403,연세스타치과의원,치과의원,02-917-2080,02799,"서울특별시 성북구 화랑로 76 1층 118호 (하월곡동, 코업스타클래스)",
11404,연세스타치과의원,치과의원,02-430-7528,05849,서울특별시 송파구 위례광장로 188 6층 613호 (장지동),http://www.udh.co.kr
11405,연세스토리치과의원,치과의원,031-308-2879,16245,경기도 수원시 팔달구 중부대로 43 5층 (지동),
11406,연세시카고치과의원,치과의원,02-2642-2121,07946,서울특별시 양천구 목동중앙북로 29 (목동),http://www.chicago21.co.kr
11407,연세신나는아이치과의원,치과의원,02-599-8227,07008,서울특별시 동작구 동작대로 123 3층 (사당동),http://신나는아이치과.kr/
11408,연세신치과의원,치과의원,054-727-2888,37624,경상북도 포항시 북구 두호로 26 4층 (두호동),
11409,연세심치과의원,치과의원,422-3326,21568,인천광역시 남동구 문화서로 8 (구월동),
11410,연세쌍둥이구강악안면외과치과의원,치과의원,02-2649-7528,07997,서울특별시 양천구 목동동로 293 현대41타워 4층 402호 (목동),
11411,연세쌍둥이치과교정과치과의원,치과의원,02-2651-3222,07997,서울특별시 양천구 목동동로 293 현대41타워 4층 401호 (목동),
11412,연세씨엘치과의원,치과의원,055-247-2005,51737,"경상남도 창원시 마산합포구 3·15대로 192 (중앙동2가, 중앙동메디칼)",
11413,연세아너스치과의원,치과의원,02-951-2255,01655,서울특별시 노원구 한글비석로 466 2층 (상계동),
11414,연세아뜰리에치과의원,치과의원,031-986-2825,10070,"경기도 김포시 김포한강9로 30 2층 202,203호 (구래동)",
11415,연세아라치과의원,치과의원,063-262-2872,55317,전라북도 완주군 봉동읍 봉동로 466-19 문화관동 2층 (현대사원아파트),
11416,연세아름치과의원,치과의원,031-917-2877,10388,"경기도 고양시 일산서구 중앙로 1391 2층 에스01호 (주엽동, 강선마을복합상가동)",
11417,연세아이나라치과의원,치과의원,033-244-8873,24352,강원도 춘천시 금강로 69 7층 (조양동),
11418,연세아이들치과의원,치과의원,031-602-2875,13489,"경기도 성남시 분당구 판교로 375 6층 603호 (삼평동, 에메트타운)",
11419,연세아이랑엄마랑치과의원,치과의원,031-446-9996,13992,"경기도 안양시 만안구 만안로 241 3층 (안양동, 대성빌딩)",
11420,연세아이소망치과의원,치과의원,02-304-2876,03709,서울특별시 서대문구 수색로 56 성공타워1 4층 409호 (북가좌동),
11421,연세아이에프씨치과의원,치과의원,02-761-7528,07327,"서울특별시 영등포구 국제금융로2길 7 (여의도동, 두레빌딩 4층)",
11422,연세아이웃음꽃치과의원,치과의원,02-6338-2828,10568,"경기도 고양시 덕양구 권율대로 899 3층 301, 302호 (신원동)",
11423,연세아이웰치과의원,치과의원,032-233-2828,21998,인천광역시 연수구 하모니로 158 송도타임스페이스 A동 B04호 (송도동),
11424,연세아이치과의원,치과의원,02-2697-1006,07705,서울특별시 강서구 강서로45길 17 2층 (화곡동),
11425,연세아이편한치과의원,치과의원,033-744-5275,26392,강원도 원주시 능라동길 51 617호 (무실동),
11426,연세아트치과의원,치과의원,031-552-2833,12256,"경기도 남양주시 도농로 32 406호 (도농동, 부영그린타운주상가동)",
11427,연세아트치과의원,치과의원,031-273-2828,16687,"경기도 수원시 영통구 태장로82번길 32 207호 (망포동, 망포마을 동수원 엘지빌리지)",
11428,연세안심치과의원,치과의원,02-452-2275,05026,서울특별시 광진구 아차산로 345 2층 216A호 (자양동),
11429,연세안치과의원,치과의원,02-943-2272,02737,서울특별시 성북구 월계로 46 2층 (하월곡동),
11430,연세안치과의원,치과의원,706-0022,04173,"서울특별시 마포구 도화길 10 3층 (도화동, 에벤에셀빌딩)",http://www.ahndental.com/
11431,연세안치과의원,치과의원,02-2635-2754,08207,서울특별시 구로구 경인로65길 44 보미플라자 (신도림동),
11432,연세알막툼치과보철과치과의원,치과의원,064-727-2875,63231,제주특별자치도 제주시 승천로 74 2층 (아라이동),
11433,연세애월치과의원,치과의원,064-742-2275,63044,제주특별자치도 제주시 애월읍 애원로 41 (애월농협협동조합),
11434,연세앤치과의원,치과의원,031-206-2854,16698,경기도 수원시 영통구 덕영대로 1515 2층 (영통동),
11435,연세약속구강악안면외과치과교정과치과의원,치과의원,031-942-2228,10905,"경기도 파주시 미래로 377 운정스퀘어 602, 603호 (동패동)",
11436,연세양치과의원,치과의원,032-351-7528,14784,"경기도 부천시 옥길로 117 401호 (옥길동, 제일프라자)",
11437,연세어린이사랑치과의원,치과의원,02-813-2870,06970,서울특별시 동작구 상도로 301 5층 (상도1동),http://dentalchild.com
11438,연세어린이치과의원,치과의원,032-572-2875,22736,"인천광역시 서구 중봉대로 588 401,402호 (연희동, 청라센트럴프라자)",http://yschild.co.kr/index.asp
11439,연세어린이치과의원,치과의원,02-406-7522,05817,"서울특별시 송파구 송파대로 98 (문정동, 선도빌딩)",
11440,연세어린이치과의원,치과의원,031-421-2872,16022,"경기도 의왕시 포일로 43 305호 (내손동, 대림프라자)",
11441,연세에덴치과의원,치과의원,031-702-2842,13591,"경기도 성남시 분당구 분당로53번길 22 5층 (서현동, 블루홀빌딩)",http://www.ilovesmile.co.kr/
11442,연세에스치과의원,치과의원,031-707-1875,13613,"경기도 성남시 분당구 정자일로 55 109동 306호 (금곡동, 분당두산위브상가)",
11443,연세에스치과의원,치과의원,02-2232-2875,04594,"서울특별시 중구 동호로 172 2,3층 (신당동, J타워)",
11444,연세에이스치과의원,치과의원,043-760-7528,27918,충청북도 증평군 증평읍 광장로 26 2층,
11445,연세에이스치과의원,치과의원,02-816-4338,06963,"서울특별시 동작구 장승배기로 76 3층 (상도동, 대경빌딩)",
11446,연세에이스치과의원,치과의원,02-2167-3100,07299,"서울특별시 영등포구 경인로 775 1동 2층 204호 (문래동3가, 에이스하이테크시티)",http://www.meplant.com/
11447,연세에이스치과의원,치과의원,031-889-2275,16897,"경기도 용인시 기흥구 죽전로 20 (보정동, 대덕누리에뜰 310)",
11448,연세에이스치과의원,치과의원,031-613-3696,18442,"경기도 화성시 동탄솔빛로 48 402호 (반송동, 거택프라자)",
11449,연세에이스치과의원,치과의원,031-989-7197,10018,경기도 김포시 통진읍 김포대로2230번길 21-10 가동 1층,
11450,연세에이플란트치과의원,치과의원,02-565-2879,06611,서울특별시 서초구 강남대로 463 4층 (서초동),http://www.yaplant.com
11451,연세에이플러스치과의원,치과의원,02-888-7976,08787,"서울특별시 관악구 남부순환로 1808 4층 (봉천동, 관악센츄리타워)",
11452,연세엔서울치과교정과치과의원,치과의원,043-233-2879,28396,"충청북도 청주시 흥덕구 풍산로 15 4층 402-2호 (가경동, 대우 메가폴리스)",
11453,연세엔씨치과의원,치과의원,055-255-2275,51329,경상남도 창원시 마산합포구 삼호로 53 (산호동),
11454,연세엘라인치과의원,치과의원,3473-2275,07008,"서울특별시 동작구 사당로 299 (사당동, ISU TEN BUILDING)",http://www.aligndental.co.kr
11455,연세엘에이(LA)치과의원,치과의원,02-363-2080,03779,서울특별시 서대문구 신촌로 109 4층 406호 (창천동),http://www.implantia.com/sc
11456,연세엘치과의원,치과의원,749-2200,63099,"제주특별자치도 제주시 노형로 407 407호 (노형동, 노형타워)",
11457,연세엘치과의원,치과의원,02-2166-6575,07304,"서울특별시 영등포구 영중로 12 11층 (영등포동3가, 에쉐르아이시네마쇼핑몰)",
11458,연세엘치과의원,치과의원,02-3446-2975,06069,서울특별시 강남구 학동로 419 3층 (청담동),
11459,연세엘치과의원,치과의원,031-938-2275,10495,"경기도 고양시 덕양구 중앙로558번길 16-12 엘지프라자 201,202호 (행신동)",
11460,연세엘치과의원,치과의원,031-904-2871,10306,"경기도 고양시 일산동구 숲속마을로 38 (풍동, 아크리아 401호)",
11461,연세엘치과의원,치과의원,031-998-2874,10073,경기도 김포시 김포한강11로 288-19 운양프라자 401~2호 (운양동),
11462,연세엠(M)치과의원,치과의원,02-6949-2873,08381,서울특별시 구로구 디지털로 285 에이스트윈타워1차 204호 (구로동),
11463,연세엠플러스치과교정과치과의원,치과의원,054-475-5988,39431,경상북도 구미시 인동가산로 33 7층 (인의동),
11464,연세여우치과의원,치과의원,02-569-2879,06278,"서울특별시 강남구 도곡로 408 205, 206호 (대치동, 디마크 빌딩)",
11465,연세여우치과의원,치과의원,02-353-2879,03385,서울특별시 은평구 연서로 222 (대조동),
11466,연세여우치과의원,치과의원,02-322-2879,03995,서울특별시 마포구 양화로 165 상진빌딩 6층 (동교동),
11467,연세연플란트치과의원,치과의원,02-900-1090,01073,서울특별시 강북구 도봉로 323 (수유동),
11468,연세연희치과의원,치과의원,032-528-2825,22721,인천광역시 서구 승학로 320 (연희동),
11469,연세영훈치과교정과치과의원,치과의원,043-237-2885,28425,충청북도 청주시 흥덕구 대농로 49 3층 302호 (복대동),
11470,연세예감치과의원,치과의원,02-318-8275,04526,서울특별시 중구 세종대로 70 덕제빌딩 4층 (태평로2가),
11471,연세예니하니치과의원,치과의원,02-3476-2207,06502,서울특별시 서초구 신반포로3길 8 반포프라자 306호 (반포동),
11472,연세예다운치과의원,치과의원,031-275-7001,16971,경기도 용인시 기흥구 구갈로 55 (구갈동),
11473,연세예본치과의원,치과의원,031-889-7528,16849,"경기도 용인시 수지구 수지로 119 307~308호 (성복동, 모던프라자)",
11474,연세예쁜미소치과의원,치과의원,032-710-2879,22762,인천광역시 서구 청라커낼로260번길 11 진성프라자 405호 (청라동),
11475,연세예스주니어치과의원,치과의원,031-925-5275,10375,"경기도 고양시 일산서구 일산로 523 301호 (일산동, 보성상가)",
11476,연세예스치과의원,치과의원,031-915-5275,10375,"경기도 고양시 일산서구 일산로 523 402,403호 (일산동, 보성상가)",
11477,연세예스치과의원,치과의원,908-5275,10449,경기도 고양시 일산동구 호수로 358-25 (백석동),
11478,연세예은치과의원,치과의원,02-445-2835,06329,서울특별시 강남구 개포로82길 13-9 2층 (개포동),
11479,연세예일치과의원,치과의원,02-483-2801,05404,서울특별시 강동구 양재대로 1363 (성내동),
11480,연세예치과의원,치과의원,705-2031,13567,"경기도 성남시 분당구 양현로 126 306호 (이매동, 미림프라자)",
11481,연세예치과의원,치과의원,02-2292-2875,04713,"서울특별시 성동구 행당로 87 409호 (행당동, 대림아파트 리빙프라자)",
11482,연세오늘인치과의원,치과의원,032-516-7528,21388,"인천광역시 부평구 부평대로 33 3층 (부평동, 창성빌딩)",
11483,연세오복치과의원,치과의원,031-941-3833,10907,경기도 파주시 와석순환로 86 지앤지프라자 303호 (야당동),
11484,연세오슬로치과의원,치과의원,02-6031-0077,04551,"서울특별시 중구 을지로 100 B동 401호 (을지로2가, 파인애비뉴)",http://www.orthllo.com/
11485,연세오에스플란트치과의원,치과의원,053-358-1500,41561,대구광역시 북구 침산남로 165 3층 (침산동),
11486,연세오직치과교정과치과의원,치과의원,02-493-7528,02460,서울특별시 동대문구 이문로 23-1 운경빌딩 4층 (회기동),
11487,연세오치과의원,치과의원,02-855-2413,08313,"서울특별시 구로구 도림로 59 203호 (구로동, 구로두산아파트)",
11488,연세온가족치과의원,치과의원,031-553-2879,12284,경기도 남양주시 다산지금로 141 제일프라자 401호 및 402호 (다산동),
11489,연세올곧은치과교정과치과의원,치과의원,02-6952-0730,05510,서울특별시 송파구 송파대로 570 타워730 2층 (신천동),
11490,연세올데이치과의원,치과의원,042-527-2828,34190,"대전광역시 유성구 도안대로 512-20 2,3,4층 (봉명동)",
11491,연세올리브치과의원,치과의원,031-378-2875,18143,"경기도 오산시 오산로132번길 36 302호 (원동, 대림프라자 )",http://www.yesolive.co.kr
11492,연세올림픽치과의원,치과의원,02-419-3080,05613,서울특별시 송파구 백제고분로 283 (석촌동),
11493,연세올바른치과의원,치과의원,044-862-2622,30123,"세종특별자치시 다정중앙로 58 다정메디프라자 302,303호 (다정동)",
11494,연세올바른치과의원,치과의원,031-328-7582,17052,경기도 용인시 처인구 금령로107번길 3 3층 (김량장동),
11495,연세와이에스플란트치과의원,치과의원,053-326-7522,41423,대구광역시 북구 학정로 427 4층 (동천동),http://www.ysdream.co.kr/
11496,연세와이즈치과의원,치과의원,02-6278-2828,06904,서울특별시 동작구 현충로 75 원불교100년기념관 2층 1호 (흑석동),
11497,연세완치과의원,치과의원,02-854-5025,08547,서울특별시 금천구 독산로 366 (독산동),
11498,연세용치과의원,치과의원,02-6347-2875,07575,서울특별시 강서구 양천로 476 금부빌딩 4층 403호 (등촌동),dentalyong.modoo.at
11499,연세우등치과의원,치과의원,032-872-7528,22136,"인천광역시 미추홀구 주안로 86 901호 (주안동, 우신빌딩)",
11500,연세우람치과의원,치과의원,031-861-7528,11346,경기도 동두천시 중앙로 126 404호 (지행동),
11501,연세우리동네치과의원,치과의원,064-711-8275,63047,제주특별자치도 제주시 애월읍 일주서로 6689 2층,
11502,연세우리들치과의원,치과의원,02-2671-2879,07251,서울특별시 영등포구 영중로 45 5층 (영등포동6가),
11503,연세우리들치과의원,치과의원,02-930-2825,01607,"서울특별시 노원구 동일로 1677 5층 (상계동, 제성빌딩)",
11504,연세우리아이치과의원,치과의원,704-3949,04172,서울특별시 마포구 삼개로 27 3층 (도화동),http://www.kizteeth.com/
11505,연세우리치과의원,치과의원,031-252-2228,16274,"경기도 수원시 장안구 수성로258번길 3 301호 (영화동, 메가플러스)",
11506,연세우리치과의원,치과의원,02-415-2804,05558,서울특별시 송파구 석촌호수로 58 301호 (잠실동),
11507,연세우리치과의원,치과의원,02-914-2228,02737,서울특별시 성북구 오패산로 75 (하월곡동),
11508,연세우리치과의원,치과의원,02-2608-3379,07765,서울특별시 강서구 가로공원로76길 53 (화곡동),
11509,연세우리치과의원,치과의원,02-354-2080,03311,서울특별시 은평구 진관2로 12 메이플카운티2차 205호 (진관동),
11510,연세우리치과의원,치과의원,031-768-2870,12798,경기도 광주시 오포읍 양벌로 325 진흥빌딩 2층,
11511,연세우리치과의원,치과의원,031-707-2852,13590,"경기도 성남시 분당구 황새울로 325 304호,305호 (서현동, 서현하우비)",
11512,연세우리치과의원,치과의원,032-888-2275,22185,인천광역시 미추홀구 낙섬중로 98 2층 (용현동),
11513,연세우일치과병원,치과병원,041-579-2244,31180,충청남도 천안시 서북구 서부대로 350 (쌍용동),
11514,연세우주아이정치과의원,치과의원,02-427-4590,05211,서울특별시 강동구 아리수로93길 33 베스트프라자 301호 (강일동),
11515,연세우주치과의원,치과의원,02-427-8274,05211,"서울특별시 강동구 아리수로93길 33 베스트프라자 4층 1,2호 (강일동)",
11516,연세웃는아이치과의원,치과의원,,14126,"경기도 안양시 동안구 경수대로 428 304,305호 (호계동, 덕유파크)",
11517,연세웃는치과의원,치과의원,02-2104-0365,08589,서울특별시 금천구 디지털로 130 3층 304호 (가산동),
11518,연세원치과의원,치과의원,041-533-4561,31526,충청남도 아산시 번영로 232 (모종동),
11519,연세원치과의원,치과의원,02-2636-2882,07270,서울특별시 영등포구 양산로7길 3 (양평동3가),http://www.yonseiwoo.com/sub_1/link_url.asp?ma_url=sub_3_3
11520,연세원치과의원,치과의원,02-6257-7522,06519,서울특별시 서초구 잠원로4길 33-2 잠원동 스타빌딩 4층 (잠원동),
11521,연세원치과의원,치과의원,032-328-7528,14543,"경기도 부천시 상동로 105 401호 (상동, 현해프라자)",http://yonseione.com
11522,연세원플란트치과의원,치과의원,031-890-2228,16391,경기도 수원시 권선구 금곡로 219 리더스빌딩 204호 (금곡동),
11523,연세웨스턴치과의원,치과의원,02-719-9502,04143,"서울특별시 마포구 마포대로 143 213호,214호,215호 (공덕동, 파크팰리스Ⅱ)",
11524,연세웰빙치과의원,치과의원,02-3431-2875,05685,서울특별시 송파구 백제고분로 358 4층 (석촌동),
11525,연세웰주니어치과의원,치과의원,02-442-2828,05266,서울특별시 강동구 양재대로 1638 3층 (명일동),
11526,연세웰치과의원,치과의원,063-273-2804,54892,"전라북도 전주시 덕진구 가련산로 6 (덕진동2가, 예담빌딩)",
11527,연세웰치과의원,치과의원,02-473-7525,05378,"서울특별시 강동구 천호대로 1006 브라운스톤천호 2층 3,4호 (성내동)",http://yonseiwell.co.kr/_company/index01.php
11528,연세웰치과의원,치과의원,02-902-7528,01454,서울특별시 도봉구 도봉로 480 (창동),http://www.yonseiwell.co.kr/_company/index03-5.php
11529,연세웰치과의원,치과의원,02-930-2875,01625,"서울특별시 노원구 동일로 1678 3층 (상계동, 새서울병원)",
11530,연세웰치과의원,치과의원,02-469-2884,04794,서울특별시 성동구 성수이로 117 4층 (성수동2가),
11531,연세웰치과의원,치과의원,031-797-7528,12755,경기도 광주시 파발로 131 3층 (경안동),
11532,연세웰치과의원,치과의원,031-974-2004,10500,"경기도 고양시 덕양구 화중로 72 502호 (화정동, 홀인원프라자)",http://www.y-well.com/
11533,연세웰치과의원,치과의원,031-896-3939,16898,"경기도 용인시 기흥구 죽전로 46 (보정동, 타워시티)",http://www.yonseiwell.com/
11534,연세웰치과의원,치과의원,031-393-2804,15865,"경기도 군포시 산본로323번길 16-26 4층 (산본동, 국민은행빌딩)",
11535,연세웰치과의원,치과의원,031-852-2889,11757,"경기도 의정부시 청사로 37 504호 (금오동, 신세계프라자)",
11536,연세웰치과의원,치과의원,031-542-2806,11179,경기도 포천시 소흘읍 솔모루로 60-1 3층 (용빌딩),
11537,연세웰치과의원,치과의원,031-278-2878,18317,경기도 화성시 봉담읍 동화길 82 201호 (동일하이빌상가),
11538,연세웰치과의원,치과의원,031-651-2755,17909,"경기도 평택시 중앙2로 13 (평택동,외 2필지 센텀스카이빌딩 403호)",
11539,연세웰치과의원,치과의원,031-866-2876,11443,경기도 양주시 평화로 1437 3층 (덕계동),
11540,연세웰치과의원,치과의원,041-555-2875,31103,충청남도 천안시 서북구 봉정로 362 3층 301호 (두정동),
11541,연세웰키즈치과의원,치과의원,031-722-2528,13640,경기도 성남시 수정구 위례광장로 300 위례중앙역 중앙타워 7층 705호 (창곡동),
11542,연세웰키즈치과의원,치과의원,031-889-6332,16898,경기도 용인시 기흥구 죽전로 46 (보정동),http://www.babydentist.co.kr/_yongin
11543,연세웰키즈치과의원,치과의원,032-441-2879,21679,"인천광역시 남동구 논고개로 101 601호 (논현동, 아름다운타워)",http://www.babydentist.co.kr/_incheon
11544,연세웰키즈치과의원,치과의원,031-575-7522,12066,경기도 남양주시 진접읍 해밀예당1로 40 301호 (화성프라자),http://www.babydentist.co.kr/_namyang
11545,연세웰키즈치과의원,치과의원,031-217-7928,16507,"경기도 수원시 영통구 센트럴타운로 111 광교스타힐스 오피스텔 303-2, 304호 (이의동)",
11546,연세위더스치과의원,치과의원,031-221-2855,18398,"경기도 화성시 효행로 1073 401호 (진안동, 거성프라자)",
11547,연세위더스치과의원,치과의원,031-792-7070,12913,"경기도 하남시 미사강변동로 73 404-1호,405호,406호,407호 (망월동, 미사강변노블레스)",
11548,연세위더스치과의원,치과의원,031-214-9330,16953,"경기도 용인시 기흥구 흥덕중앙로 59 (영덕동,흥덕노블레스 504호)",http://
11549,연세위드치과의원,치과의원,032-422-7728,21679,"인천광역시 남동구 논고개로 87 203호,204호 (논현동, 논현메디스타워)",
11550,연세위드치과의원,치과의원,02-908-7528,01405,서울특별시 도봉구 노해로65길 10 (창동),
11551,연세위드치과의원,치과의원,02-356-7528,03398,서울특별시 은평구 서오릉로 137 2층 (역촌동),
11552,연세위브치과의원,치과의원,031-784-9900,13555,"경기도 성남시 분당구 성남대로 393 B동 201호 (정자동, 두산위브파빌리온)",
11553,연세위치과의원,치과의원,031-754-2480,13640,"경기도 성남시 수정구 위례광장로 322 2층 201호 (창곡동, 아이플렉스)",
11554,연세위치과의원,치과의원,473-2828,21534,인천광역시 남동구 호구포로 794-1 5층 (구월동),
11555,연세윌치과의원,치과의원,02-778-0070,04512,서울특별시 중구 세종대로 13 3층 (남대문로5가),http://www.willden.co.kr/
11556,연세유라인치과의원,치과의원,02-2231-2822,04726,서울특별시 성동구 장터길 33 2층 (금호동3가),
11557,연세유라인치과의원,치과의원,02-423-7528,05719,"서울특별시 송파구 중대로 97 4층 (가락동, 효원빌딩)",http://www.ulineclinic.com
11558,연세유라인치과의원,치과의원,02-556-2822,06232,서울특별시 강남구 강남대로 390 1701호 (역삼동),www.ulineclinic.com
11559,연세유라인치과의원,치과의원,02-889-2822,08754,"서울특별시 관악구 신림로 340 8층 (신림동, 르네상스쇼핑몰)",http://www.ulineclinic.com
11560,연세유앤아이치과의원,치과의원,02-3662-2877,07803,서울특별시 강서구 마곡동로4길 23 3층 302호 (마곡동),
11561,연세유앤이치과의원,치과의원,032-555-2871,21034,"인천광역시 계양구 장제로875번길 1 202호 (임학동, 대산빌딩)",
11562,연세유치과의원,치과의원,061-802-1121,58696,전라남도 목포시 백년대로 270 2층 (상동),
11563,연세유치과의원,치과의원,02-2619-2890,08328,서울특별시 구로구 남부순환로97길 12 진영빌딩 (개봉동),http://www.udental.co.kr/
11564,연세유펜치과의원,치과의원,063-224-0028,54961,"전라북도 전주시 완산구 마전들로 55 3, 4층 (효자동3가)",
11565,연세유펜치과의원,치과의원,02-473-9445,05356,서울특별시 강동구 양재대로 1440 401호 (길동),http://www.ysupenn.co.kr/
11566,연세윤손치과의원,치과의원,031-377-2248,18476,"경기도 화성시 동탄대로시범길 148-22 디스퀘어빌딩 503,504,505호 (청계동)",
11567,연세윤앤진치과의원,치과의원,02-3487-2080,06640,"서울특별시 서초구 서초중앙로 56 3층 (서초동, 블루타워 )",
11568,연세윤치과의원,치과의원,042-551-2815,32804,충청남도 계룡시 엄사면 엄사중앙로 94 3층,
11569,연세윤치과의원,치과의원,02-445-4050,06336,서울특별시 강남구 개포로109길 34 301호 (개포동),http://
11570,연세윤치과의원,치과의원,02-525-2870,07010,서울특별시 동작구 사당로16길 14 2층 (사당동),
11571,연세윤치과의원,치과의원,02-312-9975,03780,서울특별시 서대문구 신촌로 127 (창천동),
11572,연세윤치과의원,치과의원,031-932-2875,10402,"경기도 고양시 일산동구 정발산로 43-20 5층 501호 (장항동, 센트럴프라자)",
11573,연세으뜸치과의원,치과의원,02-2642-8586,07964,서울특별시 양천구 목동중앙로 39 (목동),
11574,연세은혜치과의원,치과의원,02-496-3622,02054,서울특별시 중랑구 신내로 126 (신내동),
